"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1845.04531847247
"FDW14","OUT017",1524.12075880178
"NCN55","OUT010",1883.21690914577
"FDQ58","OUT017",2585.30349819956
"FDY38","OUT027",5129.17661903627
"FDH56","OUT046",1950.08079969988
"FDL48","OUT018",596.700069829385
"FDC48","OUT027",2786.80426825023
"FDN33","OUT045",1485.1374383538
"FDA36","OUT017",3088.82844007954
"FDT44","OUT017",2021.55618839012
"FDQ56","OUT045",1328.23437288452
"NCC54","OUT019",1862.70487198185
"FDU11","OUT049",2050.57716852159
"DRL59","OUT013",914.62457503219
"FDM24","OUT049",2551.05968825723
"FDI57","OUT045",3274.25063383303
"DRC12","OUT018",2757.02923755786
"NCM42","OUT027",3184.25408374223
"FDA46","OUT010",1110.68647277579
"FDA31","OUT013",2824.22778578503
"NCJ31","OUT035",3871.019215338
"FDG52","OUT046",772.450160370779
"NCL19","OUT019",376.349318272287
"FDS10","OUT035",3016.7369064422
"FDX22","OUT010",1449.58131906545
"NCF19","OUT035",909.567026280101
"NCE06","OUT046",2516.01014258258
"DRC27","OUT046",3859.16092819141
"FDE21","OUT035",2059.29623404465
"NCR42","OUT019",-1371.27388087509
"FDX51","OUT018",2868.39244137821
"NCR06","OUT018",420.011428728097
"FDU31","OUT027",4980.68817052739
"FDU59","OUT017",2712.49957486409
"FDR03","OUT027",4764.89509240439
"FDS49","OUT027",2781.0734083357
"FDD48","OUT010",-68.1378564876667
"NCF18","OUT017",3103.52355522463
"NCD43","OUT027",3091.60976069786
"NCD54","OUT018",1985.58813228858
"FDY19","OUT010",-1.42923153949125
"NCY54","OUT017",2786.81312717489
"NCL19","OUT018",2028.61084506825
"FDP23","OUT010",1542.06699501246
"FDC26","OUT013",1837.67966226021
"FDR14","OUT010",-1109.48636701541
"NCS41","OUT035",3048.80160316021
"FDF41","OUT035",4010.66525499202
"FDU34","OUT046",1988.85616561659
"DRH11","OUT046",938.714825900358
"FDM03","OUT013",1734.82618368323
"FDS31","OUT017",3065.1035635905
"FDJ20","OUT017",2125.27673987485
"FDV44","OUT027",4523.81064891855
"FDG02","OUT049",3135.94963250902
"FDA09","OUT013",2915.91492855668
"FDT04","OUT013",647.268695239286
"FDL58","OUT019",2280.4485825898
"FDE52","OUT045",1397.48278331324
"FDW12","OUT035",2506.60199823918
"FDL51","OUT017",3508.60572364895
"NCY42","OUT027",3686.00086806171
"FDR07","OUT017",1693.95012850797
"FDN40","OUT045",2329.18144120874
"FDB35","OUT027",2971.43968748434
"FDA22","OUT017",2752.12348829318
"NCL06","OUT046",4102.15565176769
"FDI35","OUT013",2936.25022801839
"NCW42","OUT045",3400.60265769114
"NCX06","OUT049",2934.09131757044
"FDC37","OUT027",3202.33042149193
"FDZ14","OUT018",1680.90732822111
"DRG49","OUT049",3940.82151834934
"NCG06","OUT045",3950.11511143376
