"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1774.05128683333
"FDW14","OUT017",1475.11030486667
"NCN55","OUT010",634.021587933333
"FDQ58","OUT017",1869.84126443333
"FDY38","OUT027",5970.82371423333
"FDH56","OUT046",1850.1569984
"FDL48","OUT018",718.420948166666
"FDC48","OUT027",2045.9954104
"FDN33","OUT045",1445.9158626
"FDA36","OUT017",2944.24638633333
"FDT44","OUT017",1810.7839167
"FDQ56","OUT045",1455.7627117
"NCC54","OUT019",638.161532333333
"FDU11","OUT049",1827.87211756667
"DRL59","OUT013",788.585726333333
"FDM24","OUT049",2534.45347723333
"FDI57","OUT045",4362.4324557
"DRC12","OUT018",3356.0025177
"NCM42","OUT027",2956.6250509
"FDA46","OUT010",470.045843404762
"FDA31","OUT013",2850.63690373333
"NCJ31","OUT035",3836.30442356667
"FDG52","OUT046",726.2736153
"NCL19","OUT019",307.303429966667
"FDS10","OUT035",3112.85690733333
"FDX22","OUT010",520.785209066667
"NCF19","OUT035",678.494697633333
"NCE06","OUT046",2394.51918416667
"DRC27","OUT046",3172.0456396
"FDE21","OUT035",1965.18704246667
"NCR42","OUT019",76.9139927666666
"FDX51","OUT018",2681.7741555
"NCR06","OUT018",530.615524133333
"FDU31","OUT027",5977.24369073333
"FDU59","OUT017",2489.4534978
"FDR03","OUT027",5598.89607176667
"FDS49","OUT027",2515.3341425
"FDD48","OUT010",173.6110119
"NCF18","OUT017",2863.39862523333
"NCD43","OUT027",2314.8411227
"NCD54","OUT018",1828.3660302
"FDY19","OUT010",175.521525
"NCY54","OUT017",2398.42743016667
"NCL19","OUT018",2010.0252325
"FDP23","OUT010",518.4188449
"FDC26","OUT013",1690.3476876
"FDR14","OUT010",191.8246367
"NCS41","OUT035",2912.079369
"FDF41","OUT035",3680.59222403333
"FDU34","OUT046",2044.60178003333
"DRH11","OUT046",818.721165933334
"FDM03","OUT013",2263.26603536667
"FDS31","OUT017",3095.5512118
"FDJ20","OUT017",2123.97534896667
"FDV44","OUT027",5022.50458256795
"FDG02","OUT049",2790.5086167
"FDA09","OUT013",3179.90219056667
"FDT04","OUT013",516.307815033333
"FDL58","OUT019",630.340268766667
"FDE52","OUT045",1296.7829877
"FDW12","OUT035",2577.89348726667
"FDL51","OUT017",3086.7010653
"NCY42","OUT027",3166.0231457
"FDR07","OUT017",1718.06449773333
"FDN40","OUT045",2333.31196823333
"FDB35","OUT027",2479.08443956667
"FDA22","OUT017",2608.29236173333
"NCL06","OUT046",3460.56710124167
"FDI35","OUT013",3522.8689756
"NCW42","OUT045",3079.03307444167
"NCX06","OUT049",3454.12451528333
"FDC37","OUT027",2427.15470276667
"FDZ14","OUT018",2032.95715996667
"DRG49","OUT049",4823.09070933333
"NCG06","OUT045",3281.15772036667
"DRC36","OUT045",3216.6166219
"FDV21","OUT019",456.556925633333
"FDB53","OUT046",3006.32690993333
"DRP47","OUT019",674.7533455
"FDA14","OUT013",2093.1413742
"DRC24","OUT035",2970.42852746667
"FDW21","OUT018",1550.45267673333
"NCH29","OUT046",1964.6366478
"FDU58","OUT013",2904.17776556667
"FDY27","OUT017",2495.0595338
"FDV56","OUT035",1364.52203453333
"FDT59","OUT046",4092.92038856667
"FDB23","OUT046",3289.1705124
"FDR49","OUT045",834.016589333334
"FDB03","OUT010",653.895717933333
"FDN39","OUT045",2786.68936596667
"FDX02","OUT027",5742.97097503333
"FDQ16","OUT027",2873.4583084
"FDU35","OUT018",1545.84949906316
"NCT29","OUT013",1468.77433013333
"FDZ27","OUT046",718.8113289
"FDN57","OUT017",2699.97058046667
"FDA03","OUT018",2157.8631264
"FDZ36","OUT045",3222.99287753333
"NCU05","OUT013",1331.03329323333
"FDT39","OUT018",2326.4833015
"FDK60","OUT017",1705.69482146667
"FDZ25","OUT017",3284.76813183333
"FDG12","OUT046",2342.014751
"DRB01","OUT019",442.0808801
"NCC43","OUT027",5648.6718346
"FDX13","OUT019",685.775553533334
"FDM22","OUT049",856.436960466666
"FDJ03","OUT027",1599.77114593333
"FDU14","OUT018",3836.5067158
"FDB33","OUT010",445.099506333333
"FDP27","OUT046",3719.13205703333
"FDO38","OUT010",168.796501133333
"FDE28","OUT027",6269.44366963333
"FDO27","OUT035",1438.60049606667
"DRL23","OUT027",2279.69831226667
"FDS28","OUT046",854.307954
"FDX24","OUT013",1351.75986916667
"FDZ02","OUT035",1193.4538238
"FDL46","OUT045",1631.3874357
"FDS60","OUT027",4797.55594773333
"NCO06","OUT017",499.271990433333
"FDO16","OUT035",1522.4652189
"FDC60","OUT049",1840.56259846667
"FDA48","OUT018",3561.58746493333
"FDZ36","OUT027",4361.49944796667
"FDK27","OUT045",2005.3736208
"FDW23","OUT018",545.461532533333
"FDM14","OUT018",1588.60501413333
"FDM14","OUT013",1706.79971656667
"FDW60","OUT018",3050.23908313333
"FDE21","OUT013",1930.5014939619
"NCM42","OUT035",1635.55079406667
"FDY59","OUT010",223.184371533333
"DRI49","OUT049",1499.95529766667
"FDT28","OUT019",287.950621366667
"FDQ22","OUT018",519.074879833334
"FDR60","OUT049",1046.77797283333
"FDC50","OUT019",342.1725966
"FDV24","OUT013",2220.94246096667
"DRF48","OUT010",532.896776866667
"FDQ47","OUT046",746.962795466667
"DRN36","OUT049",1571.46931953333
"NCY06","OUT035",2326.35757626667
"FDE52","OUT035",1463.85195976667
"NCB54","OUT045",1837.86022723333
"NCF31","OUT035",2357.46519483333
"FDJ08","OUT027",5161.31805681795
"NCC07","OUT017",1693.09555516667
"NCD19","OUT027",1641.10600733333
"FDL46","OUT049",2279.65337076667
"FDM20","OUT045",4407.4708296
"NCI06","OUT010",488.342376157143
"DRM11","OUT035",4143.69374173333
"NCH07","OUT018",2132.9881726
"FDS23","OUT013",1936.4922831
"FDO49","OUT018",705.675649733333
"FDS35","OUT049",1013.91364096667
"DRK39","OUT045",1430.15482306667
"DRI39","OUT049",865.254260833334
"FDV04","OUT017",1613.48862333333
"NCN14","OUT035",2953.3609664
"FDH08","OUT013",3547.05393866667
"FDS20","OUT046",2994.8762596
"FDV40","OUT049",1070.246868
"FDZ48","OUT010",190.141383333333
"FDS24","OUT027",2323.33295783333
"FDK44","OUT049",2267.75552476667
"FDS48","OUT045",2430.98871206667
"FDK26","OUT010",588.780810833333
"FDD23","OUT045",3396.36508916667
"NCH54","OUT017",2628.50471813333
"NCP14","OUT010",231.811475033333
"FDM60","OUT010",123.5128909
"FDV24","OUT017",2387.68008656667
"FDH08","OUT018",3156.81690716667
"FDS12","OUT027",3394.59705726667
"FDR39","OUT027",5136.6796242
"FDP12","OUT027",1080.73477153333
"DRF60","OUT027",5572.11060486667
"FDC09","OUT035",1571.58838676667
"FDF50","OUT018",3197.49007433333
"FDG28","OUT035",2898.39573643333
"NCE19","OUT017",879.439129833333
"NCM53","OUT010",265.236521466667
"NCN18","OUT049",1572.50663593333
"FDF32","OUT035",3189.81473193333
"FDF11","OUT013",3145.0907266
"DRI59","OUT049",4020.8187982
"NCG54","OUT035",3059.23004633333
"FDM44","OUT046",1585.5857221
"FDT57","OUT018",2399.99912504444
"FDV24","OUT046",2316.9227464
"FDI50","OUT019",628.226020866666
"FDS09","OUT035",854.404051133333
"NCC31","OUT027",3831.38194223333
"FDQ07","OUT019",523.0454891
"FDC22","OUT017",2948.71723333333
"FDZ56","OUT046",2569.56199896667
"FDZ40","OUT019",159.742952733333
"FDS46","OUT027",2612.49409871429
"DRD24","OUT045",1570.30283793333
"FDV45","OUT017",2981.7117291
"FDL26","OUT045",3074.4423557
"FDA56","OUT018",1653.171413
"FDN27","OUT046",1690.71576403333
"FDM20","OUT049",4837.31652503333
"FDO16","OUT017",1769.1514427
"FDL03","OUT035",3257.80911306667
"FDE58","OUT046",2342.58045906667
"FDI02","OUT027",3274.67216256667
"NCC55","OUT019",113.347345533333
"FDR03","OUT018",3104.85454616667
"FDB14","OUT017",1552.20828036667
"FDR45","OUT013",4544.824038
"NCN07","OUT017",2108.85536386667
"FDM51","OUT019",245.4764652
"FDT52","OUT027",6372.24618573333
"FDL26","OUT046",2803.9407988
"NCZ42","OUT046",3360.57734046666
"DRI47","OUT019",424.142674566667
"FDW40","OUT013",1968.21321443333
"FDN34","OUT046",3033.4160926
"FDS01","OUT035",3032.37000983334
"NCG55","OUT045",1487.7427502
"FDC11","OUT035",1386.31167113333
"FDX35","OUT018",3011.9999698
"NCB06","OUT046",2430.91214506667
"FDR09","OUT019",719.097179033334
"FDC53","OUT017",1483.3587901
"FDY45","OUT013",4117.40995513333
"FDA22","OUT010",340.475694333333
"FDE02","OUT035",1818.5048664
"FDW21","OUT045",1642.8342022
"FDV34","OUT046",1354.743208
"FDS59","OUT049",2183.55113296667
"NCW17","OUT017",2677.55353833333
"NCK54","OUT046",2135.40413886667
"FDG17","OUT019",538.4367877
"FDG35","OUT017",3290.25044
"FDD08","OUT010",146.0062781
"NCO07","OUT017",3824.80938656667
"FDJ10","OUT010",335.1950126
"FDW36","OUT017",1680.80422136667
"FDW21","OUT010",267.3140394
"FDY19","OUT017",2070.3963146
"DRE03","OUT013",743.264276466667
"NCC55","OUT049",751.6329386
"FDH52","OUT010",154.3810434
"FDO09","OUT017",4075.56242773333
"FDU43","OUT045",3943.75899523333
"FDX09","OUT010",454.668162
"FDH40","OUT019",232.468619633333
"FDW58","OUT017",1828.6826181
"FDC47","OUT017",4441.86761113333
"NCR41","OUT035",1428.9825712
"DRG49","OUT035",4551.1894189
"FDC52","OUT027",4012.18592443333
"FDY13","OUT046",1323.44039906667
"FDY35","OUT013",765.872625133333
"FDI35","OUT017",4217.61019193333
"NCU18","OUT049",2380.52040626667
"FDY33","OUT018",2806.38450673333
"FDC15","OUT027",3893.86294453333
"FDU01","OUT049",3183.92229096666
"NCU42","OUT046",3438.77832463333
"NCV29","OUT018",2653.02346893333
"NCY30","OUT017",3223.96993903333
"FDQ46","OUT049",1637.4778412
"FDG58","OUT027",3830.61815866667
"FDK33","OUT017",4069.5956391
"NCD07","OUT045",1656.99965203333
"NCX29","OUT027",3806.38536896667
"NCT42","OUT013",2235.99253706667
"DRN59","OUT035",742.649854033333
"FDI44","OUT035",1409.8917549
"FDA45","OUT049",2126.85404623333
"FDP31","OUT045",924.701767366667
"FDY01","OUT046",1870.681615
"FDT09","OUT018",2165.74275843333
"DRH03","OUT027",2608.74377413333
"FDA36","OUT018",2327.69994003333
"NCF31","OUT017",2258.17344213333
"FDG14","OUT049",2767.78996716667
"FDG28","OUT027",5941.7313613
"FDU14","OUT049",3363.69006643333
"FDY47","OUT019",316.655922566667
"FDI56","OUT049",1580.21992893333
"DRD01","OUT013",758.146903866667
"FDM22","OUT046",1118.06506786667
"FDH33","OUT013",647.313952033333
"DRZ24","OUT013",2285.881153
"NCQ38","OUT046",1460.71304566667
"FDO16","OUT027",2341.45864155
"FDU07","OUT027",3664.16360903333
"NCB07","OUT013",2856.19845795238
"FDU48","OUT045",1564.14740596667
"NCM43","OUT045",2432.816555
"FDR31","OUT010",337.344104033333
"DRK49","OUT018",411.7530243
"NCI30","OUT010",777.74943502381
"DRD60","OUT017",3013.10897066667
"NCG19","OUT046",3029.30580404166
"FDH12","OUT035",1817.6992484
"FDM32","OUT035",1299.15334666667
"FDM27","OUT035",2633.0109635
"NCU53","OUT027",4953.1062469
"NCQ18","OUT046",1803.51315876667
"FDS10","OUT013",2951.22064133333
"FDB33","OUT027",4647.67970713333
"FDI12","OUT013",1275.1012107
"NCW42","OUT013",4115.036822
"NCC06","OUT018",1924.11653537143
"FDW02","OUT017",2368.01757
"NCD43","OUT017",1488.12403166667
"FDM57","OUT018",1048.8437283
"FDA58","OUT017",3510.45258236667
"FDK56","OUT046",3151.9268281
"FDP52","OUT045",3710.2933401
"FDW20","OUT018",1907.5845787
"FDS52","OUT049",1565.23032966667
"NCT29","OUT018",1691.02369653333
"NCL54","OUT013",2951.0666196
"FDC05","OUT045",2691.60347186667
"FDF34","OUT035",2920.6721838
"FDP03","OUT027",3047.66898416667
"FDD32","OUT010",164.483448733333
"FDZ10","OUT045",1605.9432229
"FDZ40","OUT035",873.771063466667
"FDD51","OUT018",515.132789
"NCY30","OUT019",384.801884166667
"FDP58","OUT017",3662.46936996667
"FDV49","OUT017",4417.64270006667
"FDY24","OUT019",162.603451466667
"NCO55","OUT017",1711.10677676667
"FDR13","OUT017",1724.9553058
"FDS51","OUT017",911.9083094
"FDP26","OUT045",1363.6789098
"NCB54","OUT027",3314.79094026667
"FDF32","OUT017",3016.22025406667
"FDN31","OUT018",2808.18616153333
"DRM48","OUT017",794.4245704
"FDN20","OUT049",2819.19738386667
"DRL01","OUT046",3638.1429244
"FDV56","OUT049",1295.5153045
"DRH13","OUT027",2217.62355893333
"FDA03","OUT017",2458.0483776
"FDF47","OUT027",5000.92489063333
"FDX32","OUT046",2293.2592157
"FDX57","OUT049",1664.59842743333
"NCA30","OUT045",2778.989278
"FDO49","OUT013",717.3995
"FDL04","OUT019",200.228142366667
"DRM48","OUT035",790.075786733333
"FDR16","OUT013",3966.22996716667
"NCC19","OUT018",3100.82179556667
"NCE42","OUT045",2941.3605872
"FDY24","OUT017",1106.0123124
"FDH19","OUT049",2411.41818686667
"FDJ46","OUT013",2719.9790911
"FDN45","OUT010",604.6565899
"FDY08","OUT035",2122.077708
"FDZ37","OUT035",1372.4727962
"NCT30","OUT045",772.306139566667
"DRY23","OUT018",513.4280081
"NCZ30","OUT018",2049.59428133333
"FDC44","OUT018",1618.62649096667
"FDB45","OUT035",1826.2983883
"FDY04","OUT013",2199.0198863
"FDM27","OUT046",2337.8355244
"FDZ43","OUT017",4362.75492483334
"FDT39","OUT019",429.191325
"NCC06","OUT019",280.199377766667
"FDL15","OUT027",4011.87887966666
"FDL57","OUT017",4778.90910906667
"FDU08","OUT046",1370.98284676667
"FDK40","OUT017",4089.2160993
"FDQ12","OUT010",519.365834433333
"FDS48","OUT017",2826.5094214
"FDP09","OUT045",3268.90766616666
"FDW21","OUT049",1624.9161926
"FDY25","OUT035",3437.92033036666
"DRE13","OUT017",1541.51597623333
"FDV43","OUT019",119.4405252
"FDD22","OUT045",1959.83001566667
"FDM46","OUT019",303.832649608772
"NCO30","OUT010",489.644522433333
"FDM25","OUT046",2759.71791893333
"NCN41","OUT049",2010.72421153333
"FDU24","OUT045",1802.76246926667
"FDZ50","OUT046",3219.15143346667
"FDP45","OUT013",3860.98862566667
"NCM54","OUT045",1808.37860323333
"FDW10","OUT019",395.8996605
"FDP20","OUT017",2030.92491643333
"FDK32","OUT046",2773.95296071905
"FDN52","OUT049",1205.58691913333
"FDM58","OUT045",1942.26765423333
"FDZ46","OUT027",3359.56310513333
"NCA18","OUT018",1633.23758293333
"FDD35","OUT046",1907.33967526667
"NCK31","OUT035",764.378126066666
"FDI40","OUT027",2784.8742842
"FDT50","OUT019",227.400550033333
"NCT06","OUT046",2554.61545476667
"FDT31","OUT035",3272.4512757
"FDT45","OUT049",840.276995766667
"FDT13","OUT045",3377.84752666666
"FDO50","OUT045",1515.97189343333
"NCU18","OUT010",325.2013546
"NCR54","OUT049",3371.1001985
"NCO18","OUT018",2202.20702334286
"FDU09","OUT045",824.0350267
"FDT13","OUT018",2785.69610333333
"FDE09","OUT046",1499.92744503333
"NCK53","OUT019",296.8971979
"FDG45","OUT049",3704.82856466667
"DRH15","OUT035",790.348653766667
"FDO21","OUT019",519.3549597
"FDD14","OUT027",5234.66052766667
"FDC09","OUT046",1559.97716766667
"FDH45","OUT027",1235.41531396667
"FDV32","OUT046",1272.90529133333
"FDG12","OUT035",2332.96430966667
"FDS32","OUT013",1888.4308443
"NCL55","OUT018",3648.60852363333
"DRE01","OUT035",4766.77002153333
"DRE15","OUT049",1352.57514126667
"NCL42","OUT045",3844.45792133333
"FDP31","OUT013",948.828694866667
"FDN33","OUT018",1300.48167022982
"FDZ59","OUT046",2922.58225303333
"FDE45","OUT010",370.948694533333
"FDJ07","OUT013",1769.88970393333
"FDQ45","OUT018",2912.1253092
"FDM33","OUT027",5156.970545
"FDO15","OUT010",193.0576983
"FDM46","OUT013",1565.71503206667
"FDR03","OUT045",2866.5536295
"FDY49","OUT018",2324.22601756667
"FDQ60","OUT045",1880.07982586667
"FDW10","OUT049",2523.34493713333
"FDO51","OUT049",730.359407966667
